name,email,location
"Soi Dog Foundation","info@soidog.org","Phuket"
"Rescue P.A.W.S. Thailand","contact@rescue-paws.org","Hua Hin"
"Samui Dog & Cat Rescue","info@samuidog.org","Koh Samui"
"Lanta Animal Welfare","info@lantaanimalwelfare.com","Koh Samui"
"Pariah Dog Samui","pariahdog.kohsamui@gmail.com","Koh Samui"
"PAWS Phuket","info@pawsphuket.org","Phuket"
"Dog Rescue Thailand","adopt@dogrescuethailand.com","Thailand"
"Happy Dogs Koh Chang","info@happydogskohchang.org","Koh Chang"
"Elephant Nature Park Dog Sanctuary","info@saveelephant.org","Chiang Mai"
"Jai Dog Rescue","info@jaidogrescue.org","Khao Yai"
"Baan Maa","beccaj@baanmaa.org","Phetchaburi"
"VetVan Thailand","VetVanThailand@gmail.com","Rayong"
"PAWS Bangkok","protect@pawsbangkok.org","Bangkok"
"Headrock Dogs Rescue","info@headrockdogs.org","Prachuap Khiri Khan"
"Stichting Wereldhonden","info@wereldhonden.nl","Nederland"
"Rescue Dogs and Cats NL","rescuedogsandcatsnl@gmail.com","Nederland"
"Haags Dierencentrum","receptie@haagsdierencentrum.nl","Den Haag"
"NKM Rescue Team","nokillmissionorg@gmail.com","Nederland"
"Tierschutz Berlin","info@tierschutz-berlin.de","Duitsland"
"Tierschutz Bremerhaven","info@tierschutz-bremerhaven.eu","Duitsland"
"DOA Dierenasiel Amsterdam","info@doa-dierenasiel.nl","Amsterdam"
"Puppy Rescue Team","info@puppy-rescue-team.nl","Nederland"
"Dierenbescherming Groningen","groningen@dierenbescherming.nl","Groningen"
"Dierenopvang Vlaardingen","info.vlaardingen@dierenbescherming.nl","Vlaardingen"
"Dierenasiel Beilen","info@dierenasielbeilen.nl","Beilen"
"TWAS Animal Rescue","info@twas-animalrescue.be","België"
"Battersea Dogs & Cats Home","info@battersea.org.uk","Verenigd Koninkrijk"
"Dogs Trust UK","postadoptionsupport@dogstrust.org.uk","Verenigd Koninkrijk"
"Blue Cross UK","info@bluecross.org.uk","Verenigd Koninkrijk"
"RSPCA","info@rspca.org.uk","Verenigd Koninkrijk"
"ISPCA","rehoming@ispca.ie","Ierland"
"Dogs Trust Ireland","info@dogstrust.ie","Ierland"
"Tierheim München","empfang@tierheim-muenchen.de","München"
"Tierheim Köln Zollstock","info@tierheim-koeln-zollstock.de","Köln"
"SPA France","contact@la-spa.fr","Frankrijk"
"PAWS-PATAS","dogs@paws-patas.org","Spanje"
"Animal Rescue Algarve","info@animalrescuealgarve.com","Portugal"
"A Dog's Life Rescue","info@adlrescue.org","Algarve, Portugal"
"DASH Dogs","info@dash-dogs.com","Griekenland"
"Porto Rafti Dog Rescue","tanyapapadopoulos@mac.com","Griekenland"
"FOUR PAWS","office@four-paws.org","Oostenrijk"
"Zürcher Tierschutz","info@zuerchertierschutz.ch","Zwitserland"
"DogRescue Sweden","info@dogrescue.se","Zweden"
"Hunderettung Europa","vermittlung@hunderettungeuropa.de","Duitsland/Europa"
"Speranța Shelter","contact@adapostulsperanta.ro","Roemenië"
"SOS Dogs Romania","info@sosdogs.ro","Roemenië"
"Griffon Rescue","adoptagriffauve@ziggo.nl","NL/België/UK"
"Dierenopvang Koningen","info@dierenopvangkoningen.nl","Balkbrug"
"Dierenopvangcentrum Enschede","info.docenschede@dierenbescherming.nl","Enschede"
"My Dog Rescue Spain","info@mdrsdogsforhomes.com","Spanje"
"La Valle Incantata","amici4zampeonlus@gmail.com","Italië"
"ENPA Italia","info@enpa.org","Italië"
"LAV Italia","info@lav.it","Italië"
"Tierheim Basel TBB","info@tbb.ch","Zwitserland"
"Stiftung Tierrettungsdienst","info@tierrettungsdienst.ch","Zwitserland"
"Schweizer Tierschutz STS","info@tierschutz.com","Zwitserland"
